재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 반기말	전기말	전전기말	
 포괄손익계산서, 기타 - 연결	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용	-24,730,570,654		
 포괄손익계산서, 기타 - 연결	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_InterestRevenueExpense	      순이자손익	153,233,553,215		
 포괄손익계산서, 기타 - 연결	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_InterestExpense	         이자비용	-164,900,443,749		
 포괄손익계산서, 기타 - 연결	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_RevenueFromInterest	         이자수익	318,133,996,964		
 포괄손익계산서, 기타 - 연결	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_OtherComprehensiveIncome	      기타포괄손익	1,986,125,083		
 포괄손익계산서, 기타 - 연결	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_OtherComprehensiveIncomeNetOfTaxExchangeDifferencesOnTranslation	            해외사업환산손익	3,357,946,243		
 포괄손익계산서, 기타 - 연결	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans	            확정급여제도의재측정요소	-1,371,821,160		
 포괄손익계산서, 기타 - 연결	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_ProfitLoss	      당기순이익(손실)	76,885,222,943		
 포괄손익계산서, 기타 - 연결	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_ProfitLossAttributableToNoncontrollingInterests	         비지배지분에 귀속되는 당기순이익(손실)	20,797,446		
 포괄손익계산서, 기타 - 연결	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_ProfitLossAttributableToOwnersOfParent	         지배기업의 소유주에게 귀속되는 당기순이익(손실)	76,864,425,497		
 포괄손익계산서, 기타 - 연결	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-06-30	반기보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세차감전순이익	101,615,793,597		
